Jur	G-Key	Company short name	Domicile	CH-VN	ISIN	Sec.type	Princ.floor	Product name	Security prefix	Security suffix	Maturity	EUZS	
SM	GK000222376	Lehman Br.Sec NV	531	CH003070219	ANN5214R1481	6		20'000 Certificates on a Basket of Shares	Certificates	2007-25.11.08 (EXP.11.11.08) on a Basket of Shs -In Default-	25.11.2008	007	
SM	GK000222376	Lehman Br.Sec NV	531	CH003107680	ANN5214R2547	6		Bonus Certificate PLUS: Swiss Big 5	Bonus Certificate	2007-21.6.10 (EXP.7.6.10) on a Bskt of Shs -In Default-	21.06.2010	007	
US	GK000122499	Lehman Brothers	333	CH003199967	US524908XL91	6			Buffered Return Enhanced Notes	2007-13.9.08 Linked to Basket 11th Liquidating Distr	13.09.2008	007	
XS	GK000222376	Lehman Br.Sec NV	531	CH003499715	XS0327903646	6		Upto USD 10,000,000 Reverse Convertible	Reverse Convertible Certificates	2007-2.11.08 on a Basket of Shs Srs L-07/651 -In Default-	02.11.2008	007	
DE	GK000414388	Lehman Brothers	730	CH003528510	DE000A0S2A33	6		Reverse Bonus Note on the DAX Index	Euro Medium-Term Notes	2007-26.6.09 (Exp.23.6.09) on DAX-Index in      default	26.06.2009	007	
XS	GK000122154	Glitnir HoldCo	514	CH003681214	XS0207127597	6			Index Linked Notes	2004-11.11.09 on a Basket of Indices Sr Srs 166 -In Default-	11.11.2009	007	
US	GK000122499	Lehman Brothers	333	CH003971692	US5252M0FB87	6			Semi-Annual Review Notes	2008-20.4.09 Sr Lkd SPDR Fund I 122 11th Liquidating Distr	20.04.2009	099	
XS	GK000122154	Glitnir HoldCo	514	CH003983484	XS0223983932	6			0 % Equity Linked Notes	2005-29.7.11 on Equity -In Default-	29.07.2011	099	
SM	GK000222376	Lehman Br.Sec NV	531	CH004256948	ANN5215P1821	6		Certificates	Certificates	2008-3.10.08 on France Telecom SA Shs Reg-S -In Default-	03.10.2008	099	
US	GK000122499	Lehman Brothers	333	CH004263964	US5252M0EB96	6			Medium Term Notes	2008-2.6.11 Sr Series I Tr 98 Fltg Rt 11th Liquidating Distr	02.06.2011	099	
DE	GK000406248	Lehman Broth Fin	001	CH004279587	DE000A0WDDE2	6		Discount note	Discount-Note	2008-25.6.09 (Exp.22.6.09) on DJ Euro Stoxx 50-Index	25.06.2009	   	
DE	GK000414388	Lehman Brothers	730	CH004282039	DE000A0S7D50	6		Step-Up Express Zertifikat	Step-Up Express-Cert.	2007-22.6.09 (Exp.15.6.09) on DJ Euro Stoxx 50-Index	22.06.2009	007	
DE	GK000414388	Lehman Brothers	730	CH004314466	DE000A0SG1R9	6		Capped Bonus Note on the DAX Index	Euro Medium Term-Note	2008-19.6.09Term-Note	19.06.2009	007	
DE	GK000414388	Lehman Brothers	730	CH004434444	DE000A0S1160	6		Bonus Express Defensiv Zertifikat	Bonus Express Defensiv-Cert.	2007-7.12.12 (Exp.30.11.12) on DJ Euro Stoxx    50- Index	07.12.2012	007	
US	GK000122499	Lehman Brothers	333	CH004480208	US5252M0GU59	6			Medium Term Notes	2008-5.8.10 Sr Series I Tr 163 Fltg Rt 11th Liquidating Dist	05.08.2010	099	
SC	GK000414388	Lehman Brothers	730	CH013019451	FI0008903000	6	100.0	Multi-Asset-Linked Redemption Notes	Euro Medium Term Notes	2008-29.2.12 (Exp.15.2.12) on Commodity-Basket -In default-	29.02.2012	099	
US	GK000414388	Lehman Brothers	730	CH020337287	US52519VAR78	6			Notes	2007-23.10.08 -In Default- 11th Liquidating Distr	23.10.2008	099	
US	GK000414388	Lehman Brothers	730	CH020337296	US52519VAW63	6			Notes	2008-19.2.09 -In Default- 11th Liquidating Distr	19.02.2009	099	
XS	GK000591511	IA CAPITAL	510	CH023792074	XS1021727364	6		Prodigy Shorewood New York REP Fund (Series 11)	Equity-linked	2014-25.2.21 on Basket of Reference Entites -In Default-	25.02.2021	007	
XS	GK000591511	IA CAPITAL	510	CH030072084	XS1276705958	6		Relating to the 25th Street Prodigy Network	Underlying Tracker	2015-06.10.20 on Prodigy Shorewood New York REP Fund	06.10.2020	011	
XS	GK000591511	IA CAPITAL	510	CH034682975	XS1514985230	6		Ambient Development LLC (Series 92) Notes due	Notes	2016-13.11.19 Ser 92 Fltg Rt Ext. to 12.11.21 -In Default-	12.11.2021	011	
XS	GK000365893	HSBC BANK	402	CH035817802	XS2768736444	6		Fixed Rate Auction-Settled Credit-Linked Notes	5.72 % Structured Note	2024-20.12.26 on State of Israel	20.12.2026	   	
XS	GK000738301	Menara Invest	576	CH049989479	XS2041110227	6		USD 6'700'000 unsecured Notes due 2023	Structured Note	2019-31.10.23 on Collateral -In Default-	31.10.2023	011	
XS	GK000750284	Abengoa Aben 1	310	CH053810538	XS1978208020	6			Structured Instrument	2019-23.12.22 on -In Default-	23.12.2022	099	
XS	GK000858050	Tea Leaf	202	CH056652741	XS2132475737	6		Issue of USD 200'000'000 Series 2020-1 Secured	Underlying Tracker	2020-15.03.22 on Facility Agreement -In Default-	15.03.2022	011	
XS	GK000645042	Nomura Int'l Fd	846	CH059201971	XS2762928203	6		24-Month USD Callable Memory Coupon NoteLinked t	Reverse Convertible	2024-23.02.26 (09.02.26) On Equities	17.02.2026	   	
XS	GK000645042	Nomura Int'l Fd	846	CH059201985	XS2762922008	6		60-Month USD Callable Contingent Coupon NoteLink	Reverse Convertible	2024-21.02.29 (Exp.13.02.29) on Equities	21.02.2029	   	
XS	GK000873651	Rainmaker Sltn	202	CH110569282	XS2265103114	6		Issue of USD120'000'000 Series 2020-04 Secured	Structured Note	2020-30.06.22 on Collateral -In Default-	30.06.2022	099	
XS	GK000663599	CIBC	184	CH112285014	XS2768937349	6		PRIVATE PLACEMENT	Underlying Tracker	2024-19.08.25 (Exp.12.08.25) on INVESCO QQQ	19.08.2025	   	
XS	GK000663599	CIBC	184	CH112285015	XS2770015357	6		Non Principal Protected	Reverse Convertible	2024-28.02.29 (Exp.13.02.29) on Amazon.com	28.02.2029	   	
XS	GK000663599	CIBC	184	CH112285016	XS2770015431	6		Non Principal Protected	Reverse Convertible	2024-28.02.29 (Exp.13.02.29) on Applied Material	28.02.2029	   	
XS	GK000663599	CIBC	184	CH112286468	XS2768808961	6		Non Principal Protected	Reverse Convertible	2024-19.09.24 (Exp.12.09.24) on Indices	19.09.2024	   	
XS	GK000562832	Goldman Sachs	402	CH117747221	XS2692122091	6		6-month USD Fixed Coupon Notes on Tesla,Inc.	10 % Reverse Convertible	2024-22.08.24 (Exp.20.08.24) on Tesla	22.08.2024	   	
FR	GK000141097	BNP Paribas Iss	730	CH118373272	FR001400NMT7	6		Ingef2i taux 2024	Reverse Convertible	2024-29.03.34 on ICE EURIBBF10Y	29.03.2034	   	
XS	GK000141097	BNP Paribas Iss	730	CH118373274	XS2606081185	6		SLOPE RATE 30/2-7 YEARS  GBP	Reverse Convertible	2024-22.02.31 onble	22.02.2031	   	
XS	GK000662082	CSI FINAN PROD	967	CH119142879	XS2770235393	6		Autocall Equity-linked Notes linked to a Single	Underlying Tracker	2024-29.08.24 (Exp.27.08.24) on TESLA INC	29.08.2024	   	
XS	GK000747876	GT Junan Fin Pd	470	CH119639946	XS2486452969	6			Underlying Tracker	2022-02.06.23 -In Default-	02.06.2023	   	
XS	GK000747876	GT Junan Fin Pd	470	CH122200916	XS2411134187	6		Bond-Linked Leveraged Notes	Reverse Convertible	2021-15.07.22 (Exp.12.07.22) on Bonds -In Default-	15.07.2022	   	
FR	GK000738468	Gldn Sac Fin Co	411	CH124494124	FR1459AB0035	6		10-Year 5-Month EUR Autocallable Notes on Mornin	Reverse Convertible	2023-22.11.33 (Exp.15.11.33) on Morningstar Eurozone	22.11.2033	   	
XS	GK000562832	Goldman Sachs	402	CH124495041	XS2692131837	6		6-month Quanto AUD Fixed Coupon Notes on Nvidia	10 % Reverse Convertible	2024-22.08.24 (Exp.20.08.24) on NVIDIA	22.08.2024	   	
XS	GK000141097	BNP Paribas Iss	730	CH125178810	XS2623985012	6		1Y Reverse Convertible on UST in USD	Reverse Convertible	2024-08.02.25 (27.01.25) On	08.02.2025	   	
XS	GK000518844	Nomura Bank	402	CH125265530	XS2757008516	6		USD Credit Linked Securities linked to the credi	Structured Note	2024-10.01.29 on Arcelor Mittal	10.01.2029	   	
XS	GK000141097	BNP Paribas Iss	730	CH125697571	XS2705279573	6		CLN ITRAXX MAIN S40 TRANCHE 5-8	28 % Structured Note	2024-08.01.29 on Reference Entities	08.01.2029	   	
XS	GK000141097	BNP Paribas Iss	730	CH125699294	XS2703311659	6		3Y USD Capped Floored Floater Certificate on SOF	(3.7% - 4.7%)Structured Note	2024-06.02.27 On SOFRed Note	06.02.2027	   	
XS	GK000695083	Lani Finance	202	CH125970800	XS1310504292	6			Underlying Tracker	2015-02.11.23 on a Basket -In Default-	02.11.2023	   	
XS	GK000381915	JP Morgan SP	730	CH125980785	XS1905581184	6		JPY FX Linked Notes due February 2024 (the "Secu	0.1 % Structured Note	2019-08.02.24 on TRY/JPY	08.02.2024	   	
XS	GK000874596	Flying Colours	967	CH126266340	XS2277590977	6			7.25 % Reverse Convertible	2020-28.04.23 -In Default-	28.04.2023	   	
XS	GK000832186	Citigroup Glbl	333	CH126961763	XS2752766183	6		Double Knock Out Notes Based Uponthe SPDR(R) Gol	Reverse CConvertible	2024-20.02.26 (Exp.12.02.26) on The SPDR(R)Gold Trust	20.02.2026	   	
XS	GK000832186	Citigroup Glbl	333	CH126961813	XS2752764212	6		Call Notes Based Upona Basket Consisting of Nest	Reverse convertible	2024-22.02.27 (Exp.15.02.27) on Equities	22.02.2027	   	
XS	GK000832186	Citigroup Glbl	333	CH126961880	XS2752775846	6		Autocallable Barrier Notes Based Upon the SPDR(R	Reverse Convertible	2024-02.03.26 (Exp.23.02.26) on SPDR(R) S&P 500(R)ETF Trust	02.03.2026	   	
XS	GK000832186	Citigroup Glbl	333	CH126961905	XS2752806740	6		Quanto Call Notes Based Uponthe Worst Performing	Underlying Tracker	2024-14.05.27 (Exp.30.04.27) on Equities	14.05.2027	   	
XS	GK000832186	Citigroup Glbl	333	CH126961997	XS2752771183	6		Call Notes Based Upon the Worst Performing of th	Reverse Convertible	2024-21.02.29 (Exp.13.02.29) on Equities	21.02.2029	   	
XS	GK000832186	Citigroup Glbl	333	CH126962141	XS2752777974	6		Snowballing Autocall Notes Based UponBNP Paribas	Reverse Convertible	2024-04.04.30 (Exp.28.03.30) on BNP Paribas	04.04.2030	   	
XS	GK000141097	BNP Paribas Iss	730	CH127235189	XS2711128822	6		3Y 3M Digital Bonus on ENEL SpA, PUMA SE and STE	Underlying Tracker	2024-07.05.27 (Exp.30.04.27) on Equities	07.05.2027	   	
XS	GK000408308	Mor Stan & Co	402	CH127246049	XS2722751067	6		5Y GBP Delta-1 Certificates linked to the Morgan	Underlying Tracker	2024-13.02.29 (Exp.30.01.29) on Morgan Stanley	13.02.2029	   	
XS	GK000132636	Morgan Stanley	730	CH127246373	XS2754571672	6		AUD 150,000 WORST OF SHARES LINKED NOTES DUE 17	1.14 % (pro rata) Reverse Convertible	2024-17.06.24 (Exp.13.06.14) on Equities	17.06.2024	   	
XS	GK000132636	Morgan Stanley	730	CH127246508	XS2754632565	6		USD WORST OF SHARES LINKED NOTES DUE 23 JANUARY	1.25 % (pro rata) Reverse Convertible	2024-23.01.25 (Exp.21.01.25) on Equities	23.01.2025	   	
XS	GK000132636	Morgan Stanley	730	CH127246513	XS2754634348	6		WORST OF SHARES LINKED NOTES DUE 22 MAY 2024 (TH	1.7292 % (pro rata) Reverse Convertible	2024-22.05.24 (Exp.20.05.24) on Equities	22.05.2024	   	
XS	GK000408308	Mor Stan & Co	402	CH127246599	XS2754669484	6		SINGLE SHARE LINKED NOTES DUE 23 AUGUST 2024 (TH	1 % (pro rata) Reverse Convertible	2024-23.08.24 (Exp.21.08.24) on TESLA INC	23.08.2024	   	
XS	GK000408308	Mor Stan & Co	402	CH127246600	XS2754670144	6		SINGLE SHARE LINKED NOTES DUE 22 MARCH 2024 (THE	Reverse Convertible	2024-22.03.24 (Exp.20.03.24) on Equities	22.03.2024	   	
XS	GK000408308	Mor Stan & Co	402	CH127246602	XS2754671381	6		WORST OF SHARES LINKED NOTES DUE 26 AUGUST 2024	0.6667 % (pro rata) Reverse Convertible	2024-26.08.24 (Exp.22.08.24) on Equities	26.08.2024	   	
XS	GK000132636	Morgan Stanley	730	CH127246606	XS2754674641	6		HKD 10,000,000 WORST OF SHARES LINKED NOTES DUE	1.2133 % Reverse Convertible	2024-25.06.24 (EXP.17.06.24) On Equities	25.06.2024	   	
XS	GK000408308	Mor Stan & Co	402	CH127246607	XS2754675531	6		WORST OF SHARES LINKED NOTES DUE 27 AUGUST 2024	1.415 % (pro rata) Reverse Convertible	2024-27.08.24 (Exp.22.08.24) on Equities	27.08.2024	   	
XS	GK000408308	Mor Stan & Co	402	CH127246608	XS2754675887	6		USD Tracker Certificate with Bonus 2024	Underlying Tracker	2024-26.06.24 (Exp.24.06.24) on Equities	26.06.2024	   	
XS	GK000408308	Mor Stan & Co	402	CH127246610	XS2754679012	6		6 Month USD Worst of Reverse Convertible Note li	3.02 % (pro rata) Reverse Convertible	2024-15.08.24 (Exp.08.08.24) on Equities	15.08.2024	   	
XS	GK000408308	Mor Stan & Co	402	CH127246625	XS2754681422	6		WORST OF SHARES LINKED NOTES DUE 29 MAY 2024	1 % (pro rata) Reverse Convertible	2024-29.05.24 (Exp.27.05.24) on Equities	29.05.2024	   	
XS	GK000132636	Morgan Stanley	730	CH127246626	XS2754682073	6		AUD 550,000 WORST OF SHARES LINKED NOTES DUE 27	1.667 % Reverse Convertible	2024-27.08.24 (Exp.23.08.24) On Equities	27.08.2024	   	
XS	GK000132636	Morgan Stanley	730	CH127246627	XS2754682156	6		AUD 550,000 WORST OF SHARES LINKED NOTES DUE 27	1.1667 % Reverse Convertible	2024-27.08.24 (Exp.23.08.24) On Equities	27.08.2024	   	
XS	GK000408308	Mor Stan & Co	402	CH127246629	XS2754683550	6		WORST OF SHARES LINKED NOTES DUE 27 AUGUST 2024	2 % (pro rata) Reverse Convertible	2024-27.08.24 (Exp.23.08.24) on Equities	27.08.2024	   	
XS	GK000132636	Morgan Stanley	730	CH127246630	XS2754683717	6		USD 150,000 WORST OF SHARES LINKED NOTES DUE 28	1 % Reverse Convertible	2024-28.05.24 (Exp.23.05.24) On Equities	28.05.2024	   	
XS	GK000711153	MStanley Fin	333	CH127246635	XS2754685761	6		6 Year CHF Worst of Phoenix Autocall Notes linke	Reverse Convertible	2024-07.03.30 (Exp.28.02.30) on Equities	07.03.2030	   	
XS	GK000408308	Mor Stan & Co	402	CH127246642	XS2754686496	6		1 Year EUR Reverse Convertible Note linked to BN	4.43 % (pro rata) Reverse Convertible	2024-17.02.25 (Exp.10.02.25) on BNP Paribas	17.02.2025	   	
XS	GK000141097	BNP Paribas Iss	730	CH127515022	XS2712411946	6		Privilege Action Total Fevrier 2024	Reverse Convertible	2024-16.02.29 (Exp.02.02.29) on TOTALENERGIES	16.02.2029	   	
XS	GK000197171	BNP Paribas	470	CH127705615	XS2535146711	6		6 Months HKD Stock Basket Fixed Coupon Periodic	8 % Reverse Convertible	2023-23.01.24 (Exp.19.01.24) on Equities	23.01.2024	   	
FR	GK000129268	HSBC Cont Eur	369	CH128016123	FR001400NWE8	6			Reverse Convertible	2024-15.02.27 (Exp.08.02.27) on ESTXBnk EUR	15.02.2027	   	
FR	GK000129268	HSBC Cont Eur	369	CH128016126	FR001400NWF5	6		(8.94% p.a.) USD 6 Years Autocallable Plus (Reco	Reverse Convertible	2024-13.02.30 (Exp.06.02.30) on ESTXBnk EUR P	13.02.2030	   	
FR	GK000129268	HSBC Cont Eur	369	CH128016127	FR001400NWG3	6		(8.84% p.a.) USD 6 Years Autocallable Plus (Reco	Reverse Convertible	2024-13.02.30 (Exp.06.02.30) on STXE6O&G EUR P	13.02.2030	   	
FR	GK000129268	HSBC Cont Eur	369	CH128016132	FR001400NXP2	6		(10.80% p.a.) EUR 5 Years Autocallable Plus (Rec	Reverse Convertible	2024-14.02.29 (Exp.07.02.29) on Equities	14.02.2029	   	
FR	GK000129268	HSBC Cont Eur	369	CH128016133	FR001400NXQ0	6		(6.18% p.a.) EUR 6 Years Autocallable Plus (Reco	Reverse Convertible	2024-14.02.30 (Exp.07.02.30) on Equities	14.02.2030	   	
FR	GK000129268	HSBC Cont Eur	369	CH128016134	FR001400NYA2	6		(8.88% p.a.) EUR 5 Years Autocallable Plus (Reco	Reverse Convertible	2024-15.02.29 (Exp.08.02.29) on BNP Paribas	15.02.2029	   	
FR	GK000129268	HSBC Cont Eur	369	CH128016135	FR001400NZI2	6		(8.40% p.a.) EUR 6 Years Autocallable Plus (Reco	Reverse Convertible	2024-15.02.30 (Exp.08.02.30) on STXE6O&G EUR P	15.02.2030	   	
FR	GK000129268	HSBC Cont Eur	369	CH128016136	FR001400NZJ0	6		(8.80% p.a.) EUR 6 Years Autocallable Plus (Reco	Reverse Convertible	2024-15.02.30 (Exp.08.02.30) on STXE6BaR EUR P	15.02.2030	   	
FR	GK000129268	HSBC Cont Eur	369	CH128016137	FR001400NZK8	6			Reverse Convertible	2024-15.02.30 (Exp.08.02.30) on ESTXBnk EUR	15.02.2030	   	
XS	GK000381915	JP Morgan SP	730	CH128713045	XS1449789517	6			30.9 % Reverse Convertible	2023-31.01.24 on a Baskete	31.01.2024	   	
XS	GK000513450	BBVA Glob Mrkt	730	CH128889402	XS2696245666	6		Sweet Autocallable Fixed Coupon on Share due 202	Reverse Convertible	2024-16.02.27 (08.02.27) On Equities	16.02.2027	   	
XS	GK000513450	BBVA Glob Mrkt	730	CH128889414	XS2696248686	6		Phoenix Memory on Share due 2027	3 %  Reverse Convertible	2024-01.03.27 (22.02.27) on Equities	01.03.2027	   	
XS	GK000513450	BBVA Glob Mrkt	730	CH128889448	XS2696255897	6		Phoenix on Index due 2029	Reverse convertible	2024-16.02.29 (Exp.09.02.29) on ESTX50 EUR P	16.02.2029	   	
XS	GK000513450	BBVA Glob Mrkt	730	CH128889456	XS2696257323	6		Sweet Autocallable Fixed Coupon on Share due 202	Reverse Convertible	2024-18.02.25 (10 02.25) on Equities	18.02.2025	   	
XS	GK000513450	BBVA Glob Mrkt	730	CH128889458	XS2696257679	6		Daily Autocallable Fixed Coupon on Share due 202	10 % (pro rata) Reverse Convertible	2024-27.05.24 (Exp.23.05.24) on Equities	27.05.2024	   	
XS	GK000513450	BBVA Glob Mrkt	730	CH128889461	XS2696258305	6		Sweet Autocallable Fixed Coupon on Share due 202	Reverse comnvertible	2025-19.08.25 (Exp.12.08.25) on Equities	19.08.2025	   	
XS	GK000513450	BBVA Glob Mrkt	730	CH128889465	XS2696259295	6		Phoenix Memory on Share due 2026	2.0375 % Reverse Convertible	2024-19.08.26 (Exp.12.08.26) on BNP PARIBAS A	19.08.2026	   	
XS	GK000513450	BBVA Glob Mrkt	730	CH128889466	XS2696259378	6		Phoenix on Index due 2029	Reverse Convertible	2024-20.02.29 (Exp.12.02.29) on S&P 500	20.02.2029	   	
XS	GK000513450	BBVA Glob Mrkt	730	CH128889468	XS2696259535	6		Sweet Autocallable Fixed Coupon on Share due 202	Reverse Convertible	2024-19.02.26 (Exp.12.02.26) on Equities	19.02.2026	   	
XS	GK000513450	BBVA Glob Mrkt	730	CH128889473	XS2696260384	6		Phoenix Memory on Share due 2025	Reverse Convertible	2024-19.08.25 (Exp.12.08.25) On Equities	19.08.2025	   	
XS	GK000513450	BBVA Glob Mrkt	730	CH128889479	XS2696262166	6		Daily Autocallable Fixed Coupon on Share due 202	10 % (Pro Rata) Reverse Convertible	2024-01.07.24 (Exp.27.06.24) On Equities	01.07.2024	   	
XS	GK000513450	BBVA Glob Mrkt	730	CH128889669	XS2696257752	6		Single CLN Credit Linked Notes due 2029	3.65 Structure Note	2024-10.07.29 onote	10.07.2029	   	
XS	GK000513450	BBVA Glob Mrkt	730	CH128889683	XS2696257836	6		Single CLN Credit Linked Notes due 2029	Structure Note	2024-10.07.29 on	10.07.2029	   	
